object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,dash,evenodd,fill,fontname,linewidth,matrix,mcid,ncs,non_stroking_color,non_stroking_pattern,path,pts,size,stroke,stroking_color,stroking_pattern,tag,text,upright
rect,1,54.0,594.0,518.711,542.715,249.28499999999997,249.28499999999997,273.289,540.0,24.00400000000002,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (54.0, 273.289)), ('l', (594.0, 273.289)), ('l', (594.0, 249.28499999999997)), ('l', (54.0, 249.28499999999997)), ('h',)]","[(54.0, 273.289), (594.0, 273.289), (594.0, 249.28499999999997), (54.0, 249.28499999999997)]",,1,"(0, 0, 0)",,,,
rect,1,54.0,594.0,494.707,518.711,273.289,273.289,297.293,540.0,24.00400000000002,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (54.0, 297.293)), ('l', (594.0, 297.293)), ('l', (594.0, 273.289)), ('l', (54.0, 273.289)), ('h',)]","[(54.0, 297.293), (594.0, 297.293), (594.0, 273.289), (54.0, 273.289)]",,1,"(0, 0, 0)",,,,
rect,1,18.0,90.0,398.691,494.707,297.293,297.293,393.309,72.0,96.01600000000002,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 393.309)), ('l', (90.0, 393.309)), ('l', (90.0, 297.293)), ('l', (18.0, 297.293)), ('h',)]","[(18.0, 393.309), (90.0, 393.309), (90.0, 297.293), (18.0, 297.293)]",,1,"(0, 0, 0)",,,,
rect,1,18.0,90.0,470.703,494.707,297.293,297.293,321.297,72.0,24.00400000000002,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 321.297)), ('l', (90.0, 321.297)), ('l', (90.0, 297.293)), ('l', (18.0, 297.293)), ('h',)]","[(18.0, 321.297), (90.0, 321.297), (90.0, 297.293), (18.0, 297.293)]",,1,"(0, 0, 0)",,,,
rect,1,18.0,90.0,446.699,470.70300000000003,321.29699999999997,321.29699999999997,345.301,72.0,24.00400000000002,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 345.301)), ('l', (90.0, 345.301)), ('l', (90.0, 321.29699999999997)), ('l', (18.0, 321.29699999999997)), ('h',)]","[(18.0, 345.301), (90.0, 345.301), (90.0, 321.29699999999997), (18.0, 321.29699999999997)]",,1,"(0, 0, 0)",,,,
rect,1,18.0,90.0,422.695,446.699,345.301,345.301,369.305,72.0,24.00400000000002,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (18.0, 369.305)), ('l', (90.0, 369.305)), ('l', (90.0, 345.301)), ('l', (18.0, 345.301)), ('h',)]","[(18.0, 369.305), (90.0, 369.305), (90.0, 345.301), (18.0, 345.301)]",,1,"(0, 0, 0)",,,,
rect,1,90.0,594.0,470.703,494.707,297.293,297.293,321.297,504.0,24.00400000000002,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (90.0, 321.297)), ('l', (594.0, 321.297)), ('l', (594.0, 297.293)), ('l', (90.0, 297.293)), ('h',)]","[(90.0, 321.297), (594.0, 321.297), (594.0, 297.293), (90.0, 297.293)]",,1,"(0, 0, 0)",,,,
rect,1,90.0,594.0,446.699,470.70300000000003,321.29699999999997,321.29699999999997,345.301,504.0,24.00400000000002,,,0,0,,0.5,,,,"(0, 0, 0)",,"[('m', (90.0, 345.301)), ('l', (594.0, 345.301)), ('l', (594.0, 321.29699999999997)), ('l', (90.0, 321.29699999999997)), ('h',)]","[(90.0, 345.301), (594.0, 345.301), (594.0, 321.29699999999997), (90.0, 321.29699999999997)]",,1,"(0, 0, 0)",,,,
rect,1,170.11,215.48000000000002,738.39,748.6999999999999,43.30000000000007,43.30000000000007,53.610000000000014,45.370000000000005,10.309999999999945,,,1,1,,0,,,,"(0, 0, 0)",,"[('m', (170.11, 53.610000000000014)), ('l', (215.48000000000002, 53.610000000000014)), ('l', (215.48000000000002, 43.30000000000007)), ('l', (170.11, 43.30000000000007)), ('h',)]","[(170.11, 53.610000000000014), (215.48000000000002, 53.610000000000014), (215.48000000000002, 43.30000000000007), (170.11, 43.30000000000007)]",,0,,,,,
line,1,17.75,594.322,774.0,774.0,18.0,18.0,18.0,576.572,0.0,,,0,0,,0.5,,,,,,"[('m', (17.75, 18.0)), ('l', (594.322, 18.0))]","[(17.75, 18.0), (594.322, 18.0)]",,1,"(0, 0, 0)",,,,
line,1,17.75,594.322,737.325,737.325,54.674999999999955,54.674999999999955,54.674999999999955,576.572,0.0,,,0,0,,0.5,,,,,,"[('m', (17.75, 54.674999999999955)), ('l', (594.322, 54.674999999999955))]","[(17.75, 54.674999999999955), (594.322, 54.674999999999955)]",,1,"(0, 0, 0)",,,,
line,1,18.0,18.0,737.075,774.25,17.75,17.75,54.924999999999955,0.0,37.174999999999955,,,0,0,,0.5,,,,,,"[('m', (18.0, 17.75)), ('l', (18.0, 54.924999999999955))]","[(18.0, 17.75), (18.0, 54.924999999999955)]",,1,"(0, 0, 0)",,,,
