O10;0;0;0;0;0;0;0;0;0;0;0;73;73;73;73;73;73;73;73;73;73;73
O9;0;0;0;0;0;0;0;0;0;0;0;73;73;73;73;73;73;73;73;73;73;73
O8;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
O7;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
O6;66;70;71;71;71;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73
O5;61;64;66;66;68;69;70;71;73;73;73;73;73;73;73;73;73;73;73;73;73;73
O4;57;60;61;63;64;65;68;69;70;70;71;71;71;71;71;71;71;71;71;71;71;71
O3;53;54;57;58;60;61;63;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64
O2;50;51;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54
O1;47;47;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
O3E;0;0;0;60;61;63;63;64;65;66;68;68;68;68;68;68;68;68;68;68;68;68
O2E;0;0;0;56;56;57;58;58;60;60;60;60;60;60;60;60;60;60;60;60;60;60
O1E;0;0;0;51;53;53;54;54;56;56;56;56;56;56;56;56;56;56;56;56;56;56
W5;0;0;0;0;0;0;0;0;0;0;0;68;69;70;71;71;73;73;73;73;73;73
W4;54;56;56;56;57;58;60;61;63;64;65;65;68;69;70;70;70;70;70;70;70;70
W3;51;53;53;53;54;56;57;58;58;60;61;63;64;64;65;65;65;65;65;65;65;65
W2;50;51;51;51;53;54;54;56;56;57;57;58;58;60;60;60;60;60;60;60;60;60
W1;47;47;48;48;50;50;51;53;53;54;54;56;56;56;56;56;56;56;56;56;56;56
E9;0;0;0;0;0;0;58;58;60;60;61;63;64;65;66;66;68;68;69;69;71;71
E8;0;0;0;0;0;53;54;54;56;56;57;58;58;60;61;61;61;61;61;61;61;61
E7;48;50;50;50;51;51;51;53;53;54;54;54;56;56;57;57;57;57;57;57;57;57
E6;47;47;48;48;48;50;50;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
E5;45;47;47;47;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
E4;43;43;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45
E3;43;43;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45
E2;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
E1;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42

