O10;0;0;0;0;0;0;0;0;0;0;0;55;55;55;55;55;55;55;55;55;55;55
O9;0;0;0;0;0;0;0;0;0;0;0;55;55;55;55;55;55;55;55;55;55;55
O8;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55
O7;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55
O6;51;53;54;54;54;54;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55
O5;47;49;50;50;51;52;53;54;54;55;55;55;55;55;55;55;55;55;55;55;55;55
O4;43;45;47;48;49;50;51;52;53;54;54;54;54;54;54;54;54;54;54;54;54;54
O3;40;42;43;45;45;47;48;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
O2;37;39;41;41;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
O1;34;34;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37
O3E;0;0;0;45;47;48;48;49;50;51;51;51;51;51;51;51;51;51;51;51;51;51
O2E;0;0;0;42;42;43;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45
O1E;0;0;0;39;40;40;41;41;42;42;42;42;42;42;42;42;42;42;42;42;42;42
W5;0;0;0;0;0;0;0;0;0;0;0;53;54;54;55;55;55;55;55;55;55;55
W4;41;42;42;43;45;45;45;47;48;49;50;50;51;52;53;53;54;54;54;54;54;54
W3;39;40;40;40;41;42;43;45;45;45;47;48;48;49;50;50;50;50;50;50;50;50
W2;37;38;38;39;39;40;41;42;42;43;43;45;45;45;45;45;45;45;45;45;45;45
W1;33;34;34;35;37;38;38;39;39;40;40;41;41;41;41;41;41;41;41;41;41;41
E9;0;0;0;0;0;0;45;45;45;45;47;48;48;49;50;50;52;52;53;53;54;54
E8;0;0;0;0;0;41;41;42;42;42;43;45;45;45;47;47;47;47;47;47;47;47
E7;34;35;37;37;38;39;39;40;40;41;41;41;42;42;43;43;43;43;43;43;43;43
E6;33;34;34;34;35;37;37;38;38;38;39;39;39;39;39;39;39;39;39;39;39;39
E5;32;33;33;34;34;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
E4;31;31;32;32;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
E3;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
E2;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
E1;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31

