0,69999,27600,31100,34500,36200,39700,41400
70000,74999,28600,32200,35800,37600,41200,43000
75000,79999,29700,33400,37100,39000,42700,44500
80000,84999,30700,34600,38400,40300,44200,46100
85000,89999,31700,35600,39600,41600,45500,47500
90000,94999,32600,36700,40800,42800,46900,49000
95000,99999,33600,37800,42000,44100,48300,50400
100000,104999,34600,38900,43200,45400,49700,51800
105000,109999,35500,40000,44400,46600,51100,53300
110000,114999,36400,41000,45500,47800,52300,54600
115000,119999,37400,42000,46700,49000,53700,56000
120000,124999,38200,43000,47800,50200,55000,57400
125000,129999,39100,44000,48900,51300,56200,58700
130000,134999,40000,45000,50000,52500,57500,60000
135000,139999,40800,45900,51000,53600,58600,61200
140000,144999,41700,46900,52100,54700,59900,62500
145000,149999,42500,47800,53100,55800,61100,63700
150000,154999,43300,48700,54100,56800,62200,64900
155000,159999,44100,49600,55100,57900,63400,66100
160000,164999,44800,50400,56000,58800,64400,67200
165000,169999,45600,51300,57000,59900,65600,68400
170000,174999,46300,52100,57900,60800,66600,69500
175000,179999,47000,52900,58800,61700,67600,70600
180000,999999,47800,53700,59700,62700,68700,71600
