status,bracket,rate
Single,0,0.1
Single,11600,0.12
Single,47150,0.22
Single,100525,0.24
Single,191950,0.32
Single,243725,0.35
Single,609350,0.37
Married,0,0.1
Married,23200,0.12
Married,94300,0.22
Married,201050,0.24
Married,383900,0.32
Married,487450,0.35
Married,731200,0.37
Head of Household,0,0.1
Head of Household,16550,0.12
Head of Household,63100,0.22
Head of Household,100500,0.24
Head of Household,191950,0.32
Head of Household,243700,0.35
Head of Household,609350,0.37
