header,varname,shortname,longname,sign,required,onetime,standard,tax,option,custom,modal
SMA,sma,SMA,Standard Maintenance Allowance,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,clothingallowance
SRA,sra,SRA,Standard Replacement Allowance,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,clothingallowance
SICA,sica,SICA,Standard Initial Clothing Allowance,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,clothingallowance
SUPP CMA,supp_cma,SUPP CMA,Enlisted Supplemental Clothing Allowance,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,clothingallowance
TDY CCA,tdy_cca,TDY CCA,Temporary Duty Civilian Clothing Allowance,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,clothingallowance
UEA Initial,uea_initial,UEA INITIAL,Initial Clothing Allowance,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,clothingallowance
SBP,sbp,SBP,Military Survivor Benefits Plan,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,sbp
CIP,cip,CIP,Combat-Related Injury and Rehabilitation,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,cip
Advance Debt,advance_debt,ADVANCE DEBT,Advance Debt Payment,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,debt
BRA,bra,BRA,Basic Replacement Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,none
CVI,cvi,CVI,Conditional Voluntary Indefinite Status,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,none
FSA,fsa,FSA,Family Separation Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,none
FSH,fsh,FSH,Family Separation Housing,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,none
FSSA,fssa,FSSA,Family Subsistence Supplemental Allowance,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,none
OEP,oep,OEP,Overseas Extension Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,none
Ref Social Security,ref_social_security,REF SOC SECURITY,Refund Social Security,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none
VI,vi,VI,Voluntary Indefinite Status,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,none
Career Sea Pay,career_sea_pay,CSP,Career Sea Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,navy
CSP-P,cspp,CSP-P,Career Sea Pay - Premium,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,navy
SDIP,sdip,SDIP,Submarine Duty Incentive Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,navy
Sea Pay,sea_pay,SP,Sea Pay,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,navy
Split Payment Option,split_payment_option,SPO,Split Payment Option,-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,navy
VBSS,vbss,VBSS,"Duty Maritime Visit, Board, Search & Seizure Duty",-1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,navy
Federal Taxes,federal_taxes,FEDERAL TAXES,Federal Taxes,-1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,federaltaxes
FICA - Social Security,fica,FICA-SOC SECURITY,Federal Insurance Contributions Act - Social Security,-1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,fica
FICA - Medicare,ficamedicare,FICA-MEDICARE,Federal Insurance Contributions Act - Medicare,-1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,fica
SGLI,sgli,SGLI,Servicemember's Group Life Insurance Premium,-1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,sgli
