zipcode;index;mha_name
10108;8;New York City, NY
10109;8;New York City, NY
10110;8;New York City, NY
10111;8;New York City, NY
10112;8;New York City, NY
10113;8;New York City, NY
10114;8;New York City, NY
10115;8;New York City, NY
10116;8;New York City, NY
10117;8;New York City, NY
10118;8;New York City, NY
10119;8;New York City, NY
10120;8;New York City, NY
10121;8;New York City, NY
10122;8;New York City, NY
10123;8;New York City, NY
10124;8;New York City, NY
10125;8;New York City, NY
10126;8;New York City, NY
10128;8;New York City, NY
10129;8;New York City, NY
10130;8;New York City, NY
10131;8;New York City, NY
10132;8;New York City, NY
10133;8;New York City, NY
10138;8;New York City, NY
10150;8;New York City, NY
10151;8;New York City, NY
10152;8;New York City, NY
10153;8;New York City, NY
10154;8;New York City, NY
10155;8;New York City, NY
10156;8;New York City, NY
10157;8;New York City, NY
10158;8;New York City, NY
10159;8;New York City, NY
10160;8;New York City, NY
10162;8;New York City, NY
10163;8;New York City, NY
10164;8;New York City, NY
10165;8;New York City, NY
10166;8;New York City, NY
10167;8;New York City, NY
10168;8;New York City, NY
10169;8;New York City, NY
10170;8;New York City, NY
10171;8;New York City, NY
10172;8;New York City, NY
10173;8;New York City, NY
10174;8;New York City, NY
10175;8;New York City, NY
10176;8;New York City, NY
10177;8;New York City, NY
10178;8;New York City, NY
10179;8;New York City, NY
10185;8;New York City, NY
10199;8;New York City, NY
10203;8;New York City, NY
10211;8;New York City, NY
10212;8;New York City, NY
10213;8;New York City, NY
10242;8;New York City, NY
10249;8;New York City, NY
10256;8;New York City, NY
10258;8;New York City, NY
10259;8;New York City, NY
10260;8;New York City, NY
10261;8;New York City, NY
10265;8;New York City, NY
10268;8;New York City, NY
10269;8;New York City, NY
10270;8;New York City, NY
10271;8;New York City, NY
10272;8;New York City, NY
10273;8;New York City, NY
10274;8;New York City, NY
10275;8;New York City, NY
10276;8;New York City, NY
10277;8;New York City, NY
10278;8;New York City, NY
10279;8;New York City, NY
10280;8;New York City, NY
10281;8;New York City, NY
10282;8;New York City, NY
10285;8;New York City, NY
10286;8;New York City, NY
10301;3;Staten Island, NY
10302;3;Staten Island, NY
10303;3;Staten Island, NY
10304;3;Staten Island, NY
10305;3;Staten Island, NY
10306;3;Staten Island, NY
10307;3;Staten Island, NY
10308;3;Staten Island, NY
10309;3;Staten Island, NY
10310;3;Staten Island, NY
10311;3;Staten Island, NY
10312;3;Staten Island, NY
10313;3;Staten Island, NY
10314;3;Staten Island, NY
10451;8;New York City, NY
10452;8;New York City, NY
10453;8;New York City, NY
10454;8;New York City, NY
10455;8;New York City, NY
10456;8;New York City, NY
10457;8;New York City, NY
10458;8;New York City, NY
10459;8;New York City, NY
10460;8;New York City, NY
10461;8;New York City, NY
10462;8;New York City, NY
10463;8;New York City, NY
10464;8;New York City, NY
10465;8;New York City, NY
10466;8;New York City, NY
10467;8;New York City, NY
10468;8;New York City, NY
10469;8;New York City, NY
10470;8;New York City, NY
10471;8;New York City, NY
10472;8;New York City, NY
10473;8;New York City, NY
10474;8;New York City, NY
10475;8;New York City, NY
10501;1;Westchester County, NY
10502;1;Westchester County, NY
10503;1;Westchester County, NY
10504;1;Westchester County, NY
10505;1;Westchester County, NY
10506;1;Westchester County, NY
10507;1;Westchester County, NY
10509;1;Westchester County, NY
10510;1;Westchester County, NY
10511;1;Westchester County, NY
10512;1;Westchester County, NY
10514;1;Westchester County, NY
10516;1;Westchester County, NY
10517;1;Westchester County, NY
10518;1;Westchester County, NY
10519;1;Westchester County, NY
10520;1;Westchester County, NY
10521;1;Westchester County, NY
10522;1;Westchester County, NY
10523;1;Westchester County, NY
10524;1;Westchester County, NY
10526;1;Westchester County, NY
10527;1;Westchester County, NY
10528;1;Westchester County, NY
10530;1;Westchester County, NY
10532;1;Westchester County, NY
10533;1;Westchester County, NY
10535;1;Westchester County, NY
10536;1;Westchester County, NY
10537;1;Westchester County, NY
10538;1;Westchester County, NY
10540;1;Westchester County, NY
10541;1;Westchester County, NY
10542;1;Westchester County, NY
10543;1;Westchester County, NY
10545;1;Westchester County, NY
10546;1;Westchester County, NY
10547;1;Westchester County, NY
10548;1;Westchester County, NY
10549;1;Westchester County, NY
10550;1;Westchester County, NY
10551;1;Westchester County, NY
10552;1;Westchester County, NY
10553;1;Westchester County, NY
10560;1;Westchester County, NY
10562;1;Westchester County, NY
10566;1;Westchester County, NY
10567;1;Westchester County, NY
10570;1;Westchester County, NY
10573;1;Westchester County, NY
10576;1;Westchester County, NY
10577;1;Westchester County, NY
10578;1;Westchester County, NY
10579;1;Westchester County, NY
10580;1;Westchester County, NY
10583;1;Westchester County, NY
10587;1;Westchester County, NY
10588;1;Westchester County, NY
10589;1;Westchester County, NY
10590;1;Westchester County, NY
10591;1;Westchester County, NY
10594;1;Westchester County, NY
10595;1;Westchester County, NY
10596;1;Westchester County, NY
10597;1;Westchester County, NY
10598;1;Westchester County, NY
10601;1;Westchester County, NY
10602;1;Westchester County, NY
10603;1;Westchester County, NY
10604;1;Westchester County, NY
10605;1;Westchester County, NY
10606;1;Westchester County, NY
10607;1;Westchester County, NY
10610;1;Westchester County, NY
10701;1;Westchester County, NY
10702;1;Westchester County, NY
10703;1;Westchester County, NY
10704;1;Westchester County, NY
10705;1;Westchester County, NY
10706;1;Westchester County, NY
10707;1;Westchester County, NY
10708;1;Westchester County, NY
10709;1;Westchester County, NY
10710;1;Westchester County, NY
10801;1;Westchester County, NY
10802;1;Westchester County, NY
10803;1;Westchester County, NY
10804;1;Westchester County, NY
10805;1;Westchester County, NY
11001;8;New York City, NY
11002;8;New York City, NY
11003;8;New York City, NY
11004;8;New York City, NY
11005;8;New York City, NY
11010;8;New York City, NY
11020;8;New York City, NY
11021;8;New York City, NY
11022;8;New York City, NY
11023;8;New York City, NY
11024;8;New York City, NY
11026;1;Long Island, NY
11027;1;Long Island, NY
11030;8;New York City, NY
11040;8;New York City, NY
11042;8;New York City, NY
11050;8;New York City, NY
11051;8;New York City, NY
11052;8;New York City, NY
11053;1;Long Island, NY
11054;1;Long Island, NY
11055;1;Long Island, NY
11096;1;Long Island, NY
11101;8;New York City, NY
11102;8;New York City, NY
11103;8;New York City, NY
11104;8;New York City, NY
11105;8;New York City, NY
11106;8;New York City, NY
11109;8;New York City, NY
11120;8;New York City, NY
11201;8;New York City, NY
11202;8;New York City, NY
11203;8;New York City, NY
11204;8;New York City, NY
11205;8;New York City, NY
11206;8;New York City, NY
11207;8;New York City, NY
11208;8;New York City, NY
11209;8;New York City, NY
11210;8;New York City, NY
11211;8;New York City, NY
11212;8;New York City, NY
11213;8;New York City, NY
11214;8;New York City, NY
11215;8;New York City, NY
11216;8;New York City, NY
11217;8;New York City, NY
11218;8;New York City, NY
11219;8;New York City, NY
11220;8;New York City, NY
11221;8;New York City, NY
11222;8;New York City, NY
11223;8;New York City, NY
11224;8;New York City, NY
11225;8;New York City, NY
11226;8;New York City, NY
11228;8;New York City, NY
11229;8;New York City, NY
11230;8;New York City, NY
11231;8;New York City, NY
11232;8;New York City, NY
11233;8;New York City, NY
11234;8;New York City, NY
11235;8;New York City, NY
11236;8;New York City, NY
11237;8;New York City, NY
11238;8;New York City, NY
11239;8;New York City, NY
11241;8;New York City, NY
11242;8;New York City, NY
11243;8;New York City, NY
11245;8;New York City, NY
11247;8;New York City, NY
11249;8;New York City, NY
11251;8;New York City, NY
11252;8;New York City, NY
11256;8;New York City, NY
11351;8;New York City, NY
11352;8;New York City, NY
11354;8;New York City, NY
11355;8;New York City, NY
11356;8;New York City, NY
11357;8;New York City, NY
11358;8;New York City, NY
11359;8;New York City, NY
11360;8;New York City, NY
11361;8;New York City, NY
11362;8;New York City, NY
11363;8;New York City, NY
11364;8;New York City, NY
11365;8;New York City, NY
11366;8;New York City, NY
11367;8;New York City, NY
11368;8;New York City, NY
11369;8;New York City, NY
11370;8;New York City, NY
11371;8;New York City, NY
11372;8;New York City, NY
11373;8;New York City, NY
11374;8;New York City, NY
11375;8;New York City, NY
11377;8;New York City, NY
11378;8;New York City, NY
11379;8;New York City, NY
11380;8;New York City, NY
11385;8;New York City, NY
11386;8;New York City, NY
11405;8;New York City, NY
11411;8;New York City, NY
11412;8;New York City, NY
11413;8;New York City, NY
11414;8;New York City, NY
11415;8;New York City, NY
11416;8;New York City, NY
11417;8;New York City, NY
11418;8;New York City, NY
11419;8;New York City, NY
11420;8;New York City, NY
11421;8;New York City, NY
11422;8;New York City, NY
11423;8;New York City, NY
11424;8;New York City, NY
11425;8;New York City, NY
11426;8;New York City, NY
11427;8;New York City, NY
11428;8;New York City, NY
11429;8;New York City, NY
11430;8;New York City, NY
11431;8;New York City, NY
11432;8;New York City, NY
11433;8;New York City, NY
11434;8;New York City, NY
11435;8;New York City, NY
11436;8;New York City, NY
11437;8;New York City, NY
11439;8;New York City, NY
11451;8;New York City, NY
11499;8;New York City, NY
11501;1;Long Island, NY
11507;1;Long Island, NY
11509;1;Long Island, NY
11510;1;Long Island, NY
11514;1;Long Island, NY
11516;1;Long Island, NY
11518;1;Long Island, NY
11520;1;Long Island, NY
11530;1;Long Island, NY
11531;1;Long Island, NY
11542;1;Long Island, NY
11545;1;Long Island, NY
11547;1;Long Island, NY
11548;1;Long Island, NY
11549;1;Long Island, NY
11550;1;Long Island, NY
11551;1;Long Island, NY
11552;1;Long Island, NY
11553;1;Long Island, NY
11554;1;Long Island, NY
11555;1;Long Island, NY
11556;1;Long Island, NY
11557;1;Long Island, NY
11558;1;Long Island, NY
11559;1;Long Island, NY
11560;1;Long Island, NY
11561;1;Long Island, NY
11563;1;Long Island, NY
11565;1;Long Island, NY
11566;1;Long Island, NY
11568;1;Long Island, NY
11569;1;Long Island, NY
11570;1;Long Island, NY
11571;1;Long Island, NY
11572;1;Long Island, NY
11575;1;Long Island, NY
11576;1;Long Island, NY
11577;1;Long Island, NY
11579;1;Long Island, NY
11580;1;Long Island, NY
11581;1;Long Island, NY
11582;1;Long Island, NY
11590;1;Long Island, NY
11596;1;Long Island, NY
11598;1;Long Island, NY
11599;1;Long Island, NY
11690;8;New York City, NY
11691;8;New York City, NY
11692;8;New York City, NY
11693;8;New York City, NY
11694;8;New York City, NY
11695;8;New York City, NY
11697;8;New York City, NY
11701;1;Long Island, NY
11702;1;Long Island, NY
11703;1;Long Island, NY
11704;1;Long Island, NY
11705;1;Long Island, NY
11706;1;Long Island, NY
11707;1;Long Island, NY
